producto,origen,fecha,cantidad (KG),precio (DOLARES),proveedor_id
"Cheese - Cheddar, Medium",Poland,24/12/2002,,7649,1033
Pail With Metal Handle 16l White,Russia,24/11/2019,325,11436,1022
Eggplant - Baby,Indonesia,11/12/2006,164,2279,1240
Crab - Meat Combo,Poland,30/10/2010,96,1780,1168
Coffee Beans - Chocolate,Russia,23/4/2014,2,48,1441
"Lid - Translucent, 3.5 And 6 Oz",Indonesia,28/12/2016,304,9905,1326
Wine - Merlot Vina Carmen,Ireland,6/6/2009,246,6098,1032
Cauliflower,Indonesia,22/2/2019,114,1166,1397
Lamb - Bones,China,29/12/2003,135,1481,1432
Cheese - Perron Cheddar,Argentina,12/11/2020,301,7425,1310
Bread - Rosemary Focaccia,Peru,25/8/2003,415,9729,1188
Pork - Smoked Back Bacon,Indonesia,10/7/2010,286,6454,1447
Soup V8 Roasted Red Pepper,Brazil,18/11/2010,399,10181,1339
Muffin - Bran Ind Wrpd,Cuba,14/10/2016,347,7774,1323
"Rum - Cream, Amarula",China,27/4/2010,181,3666,1029
Beef Tenderloin Aaa,Iran,17/12/2008,207,4286,1357
Sesame Seed,Portugal,23/11/2015,253,2549,1073
Chips Potato Swt Chilli Sour,Denmark,17/5/2019,350,10613,1280
Aromat Spice / Seasoning,Indonesia,18/2/2017,254,5881,1352
Sprouts - Baby Pea Tendrils,Sweden,21/12/2008,227,5867,1253
Sauce - Chili,China,9/8/2015,232,2827,1161
"Tomatoes - Cherry, Yellow",Egypt,13/12/2018,,7151,1024
Plate Pie Foil,Finland,3/4/2019,,10733,1241
Salt - Kosher,Greece,19/9/2015,81,1130,1440
Pepper - Gypsy Pepper,China,27/6/2012,153,3516,1256
Juice Peach Nectar,China,20/12/2003,361,5943,1306
Maintenance Removal Charge,Poland,30/8/2015,258,6750,1040
Loquat,Portugal,15/4/2008,252,1625,1189
Sugar - Splenda Sweetener,China,9/4/2015,334,8156,1058
"Wine - Red, Marechal Foch",Guatemala,20/5/2017,212,5510,1451
Mustard - Seed,Sweden,4/5/2017,14,192,1356
"Mushroom - Shitake, Fresh",Indonesia,25/12/2014,178,4879,1165
Pur Source,China,13/7/2001,203,2056,1017
Soup - Campbells Bean Medley,Tunisia,15/12/2005,196,5494,1250
Roe - White Fish,Argentina,8/3/2012,88,1512,1493
"Coconut - Shredded, Sweet",Peru,27/7/2006,225,5249,1280
Tia Maria,Indonesia,1/12/2018,124,1076,1136
Port - 74 Brights,Colombia,10/8/2020,446,7754,1145
Napkin White,Czech Republic,9/9/2013,398,5115,1339
"Jam - Raspberry,jar",Peru,18/10/2009,388,6823,1426
Beer - Paulaner Hefeweisse,Spain,4/11/2005,179,4796,1294
"Chicken - Thigh, Bone In",Sweden,27/1/2020,269,6112,1097
"Bread - Roll, Calabrese",Nicaragua,2/1/2010,348,8166,1410
"Pepper - Chipotle, Canned",Indonesia,26/4/2006,429,10278,1009
Compound - Raspberry,Russia,16/4/2013,302,6254,1490
Bonito Flakes - Toku Katsuo,Indonesia,12/3/2016,471,13832,1220
Danishes - Mini Raspberry,Poland,14/3/2010,184,4279,1115
"Pasta - Canelloni, Single Serve",Indonesia,12/4/2014,240,6924,1381
V8 - Vegetable Cocktail,Slovenia,7/11/2011,494,11679,1207
Muffin - Mix - Bran And Maple 15l,Bulgaria,22/5/2015,192,6598,1053
Tobasco Sauce,Sweden,23/4/2019,62,744,1095
"Cheese - Brie,danish",South Africa,16/5/2008,163,3209,1292
Beans - Fine,Afghanistan,8/7/2010,6,77,1155
Cumin - Whole,Poland,17/11/2019,43,606,1016
Capers - Pickled,Poland,28/3/2017,313,5390,1004
Soup - Campbells Chicken,Russia,1/8/2009,45,1026,1389
Beef - Tender Tips,United States,2/7/2008,250,4188,1342
Plasticspoonblack,Poland,25/1/2004,231,3950,1083
Smoked Tongue,Morocco,9/8/2019,258,3192,1021
Aspic - Clear,Netherlands,20/12/2014,176,2384,1061
Zucchini - Green,Ireland,31/7/2001,-50,16559,1074
Coffee - Almond Amaretto,Finland,21/4/2004,32,793,1082
Sambuca - Opal Nera,Yemen,31/5/2020,349,5978,1033
Beans - Yellow,China,1/2/2007,378,5338,1434
Puree - Mocha,Kazakhstan,2/11/2004,213,2901,1023
"Soup - Campbells, Minestrone",Canada,12/6/2009,165,4415,1441
Napkin Colour,Luxembourg,23/1/2008,217,2963,1230
Sprouts - Brussel,Cape Verde,20/6/2006,282,5245,1262
"Bread - Roll, Italian",Brazil,6/5/2015,436,9257,1289
"Pork - Loin, Bone - In",Indonesia,17/5/2001,294,7098,1291
"Soup - Knorr, Chicken Noodle",Russia,21/1/2011,269,7446,1266
Carbonated Water - Wildberry,China,12/3/2008,523,14559,1371
Chicken Breast Wing On,China,30/9/2001,102,2432,1234
Soup - French Can Pea,Indonesia,10/4/2011,397,8461,1119
"Lamb - Loin, Trimmed, Boneless",Brazil,29/11/2014,301,8672,1148
Beef - Top Butt Aaa,Sweden,14/8/2019,242,4515,1441
Ginger - Crystalized,Japan,24/12/2014,227,4749,1163
Dawn Professionl Pot And Pan,Myanmar,2/10/2015,173,4472,1484
Cleaner - Lime Away,Russia,25/4/2003,362,7308,1400
Sorrel - Fresh,Azerbaijan,21/7/2019,389,5638,1448
Beef - Top Sirloin,China,25/8/2011,495,9798,1171
"Rum - Cream, Amarula",Russia,14/12/2014,468,8860,1325
Compound - Mocha,Bolivia,8/3/2008,343,5227,1305
"Beef - Tenderlion, Center Cut",China,15/3/2006,303,8748,1016
Coffee Beans - Chocolate,China,30/3/2008,303,7996,1410
Cheese - Brick With Onion,China,23/5/2020,231,5253,1429
Bread Bowl Plain,Japan,15/3/2018,359,6032,1136
Compound - Raspberry,Russia,13/5/2004,137,2506,1135
Mix - Cocktail Strawberry Daiquiri,Colombia,12/7/2020,58,1977,1263
Hot Choc Vending,Philippines,2/8/2002,462,6761,1203
Onions Granulated,Poland,21/2/2017,126,2352,1261
Irish Cream - Baileys,China,20/10/2005,,24155,1139
Muffin - Mix - Mango Sour Cherry,Sweden,5/6/2020,355,11475,1194
Juice - V8 Splash,Bosnia and Herzegovina,8/7/2001,251,4433,1426
Carbonated Water - Strawberry,China,13/11/2008,124,3592,1071
Muffin - Bran Ind Wrpd,Sweden,29/1/2002,231,5163,1178
Bread - Corn Muffaletta,Spain,6/4/2010,324,7363,1071
"Sauce - Soya, Light",China,25/4/2002,336,5772,1083
Pepper - Roasted Red,Mexico,9/2/2019,-19,16135,1309
Extract - Rum,Indonesia,7/9/2015,105,1450,1235
Bread - Raisin Walnut Pull,Russia,10/9/2004,245,5807,1281
Pate Pans Yellow,Russia,8/1/2004,106,1744,1439
"Juice - Apple, 341 Ml",Cape Verde,14/7/2005,340,7417,1030
Oil - Safflower,Philippines,22/12/2009,291,4460,1409
Duck - Whole,Brazil,23/5/2006,385,4430,1473
Ice Cream Bar - Hageen Daz To,China,21/2/2015,40,1077,1430
Fiddlehead - Frozen,Poland,17/7/2007,401,7941,1494
Swiss Chard,China,7/12/2012,188,2021,1313
"Pasta - Fettuccine, Egg, Fresh",China,23/8/2009,84,2630,1416
Pike - Frozen Fillet,Russia,12/6/2012,471,9771,1018
Muffin Mix - Oatmeal,Portugal,19/6/2014,275,5624,1104
"Lemonade - Black Cherry, 591 Ml",Indonesia,6/9/2014,57,1853,1220
Table Cloth 81x81 White,Indonesia,16/3/2008,156,3591,1158
"Sauce - White, Mix",Peru,20/6/2002,296,5771,1172
Wine - Mondavi Coastal Private,Vietnam,2/7/2001,256,8250,1234
"Sprite, Diet - 355ml",Indonesia,3/11/2005,316,6184,1253
Oil - Hazelnut,El Salvador,31/1/2007,323,4748,1424
Cookies Cereal Nut,Ukraine,9/3/2010,75,1415,1085
Lettuce - Iceberg,Indonesia,16/8/2005,247,4454,1385
Juice - Ocean Spray Kiwi,Sweden,19/8/2007,,22583,1481
Cocoa Powder - Dutched,Czech Republic,10/4/2003,125,2642,1153
"Rosemary - Primerba, Paste",Japan,5/5/2010,287,7015,1144
"Nut - Walnut, Chopped",China,17/4/2015,296,6065,1493
Heavy Duty Dust Pan,China,27/5/2012,378,7412,1189
"Pepsi - Diet, 355 Ml",China,28/8/2018,331,6991,1408
Syrup - Chocolate,China,3/4/2007,416,6491,1094
Wine - Casablanca Valley,Argentina,8/12/2020,174,4536,1466
"Clams - Littleneck, Whole",China,20/12/2002,382,10284,1020
Soup - Campbells Tomato Ravioli,New Caledonia,3/11/2018,389,11571,1201
Skewers - Bamboo,France,14/9/2019,18,268,1030
"Stock - Veal, White",China,5/11/2001,167,3366,1365
Ecolab - Medallion,Indonesia,27/9/2007,265,4788,1085
Bandage - Finger Cots,Nigeria,3/10/2009,352,7465,1254
Beef - Cow Feet Split,Cuba,17/9/2010,78,1557,1062
"Napkin - Dinner, White",Russia,3/11/2013,271,5682,1072
Appetizer - Escargot Puff,Bulgaria,8/4/2003,279,6421,1258
Appetizer - Tarragon Chicken,Philippines,8/6/2003,130,3993,1494
"Rum - Dark, Bacardi, Black",Indonesia,4/7/2020,156,3804,1073
Table Cloth 120 Round White,Republic of the Congo,7/4/2017,331,8352,1101
Cake Slab,China,5/12/2001,285,2819,1119
Compound - Strawberry,China,21/1/2003,349,7813,1030
Beer - Camerons Cream Ale,Argentina,18/4/2020,402,10038,1117
