Artwork ID,Title,Artist ID,Name,Date,Medium,Dimensions,Acquisition Date,Credit,Catalogue,Department,Classification,Object Number,Diameter (cm),Circumference (cm),Height (cm),Length (cm),Width (cm),Depth (cm),Weight (kg),Duration (s)
4489,Low-Back Armchair (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil on board,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,863.1942,,,76.2002,,50.8001,,,
4490,High-Back Armchair (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil on board covered with cellophane,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,864.1942,,,76.2002,,50.8001,,,
4491,Sofa Unit (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil on board,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,865.1942,,,76.2002,,50.8001,,,
4492,Lounge Chair (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil on paper board with paper and plywood collage,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,866.1942,,,76.2002,,50.8001,,,
4493,Coffee Table (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil on board with collage,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,867.1942,,,76.2002,,50.8001,,,
4494,Cabinet Units (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil and airbrush on board,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,868.1942,,,76.2002,,50.8001,,,
4495,Cabinets (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil and airbrush on board,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,869.1942,,,76.2002,,50.8001,,,
4496,Cabinets (Entry Panel for MoMA Competition for Organic Design in Home Furnishings),"1671, 5103","Charles Eames, Eero Saarinen",1940,Pencil and airbrush on board,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Gift of the designers,Y,Architecture & Design,Design,870.1942,,,76.2002,,50.8001,,,
4497,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,871.1942,,,76.2002,,50.8001,,,
4498,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,872.1942,,,76.2002,,50.8001,,,
4499,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,873.1942,,,76.2002,,50.8001,,,
4500,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver prints with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,874.1942,,,76.2002,,50.8001,,,
4501,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,875.1942,,,76.2002,,50.8001,,,
4502,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,30 x 20 (76.2 x 50.8 cm),1942-01-01,Purchase Fund,Y,Architecture & Design,Design,876.1942,,,76.2002,,50.8001,,,
4503,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver prints with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,877.1942,,,76.2002,,50.8001,,,
4504,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"1671, 5103","Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,878.1942,,,76.2002,,50.8001,,,
4506,Upholstery fabric sample (no. 13304),1694,Marli Ehrman,1941,"Woven cotton, twine, and rug wool","53 x 27"" (134.7 x 68.6 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,880.1942,,,,134.67,68.6,,,
4507,Fabric Upholstery (no. 13304),1694,Marli Ehrman,c. 1940,"Woven cotton, twine, and rug wool","52 x 25"" (132 x 63.5 cm)",,Purchase Fund,Y,Architecture & Design,Design,881.1942,,,,132.0803,63.5,,,
4508,Upholstery fabric sample (no. 13304),1694,Marli Ehrman,c. 1940,"Woven twine, rug wool, cotton, and plastic","24 5/8 x 16 5/8"" (42.2 x 62.5 cm) (framed)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,882.1942,,,,62.5476,42.2,,,
4509,Upholstery fabric sample (No.13307),1694,Marli Ehrman,c. 1940,Woven cotton and chenille,"24 x 24"" (61 x 61 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,883.1942,,,,61,61,,,
4510,Upholstery fabric sample (no.13308),1694,Marli Ehrman,c. 1940,Woven cotton and wool,"23 x 22 1/2"" (58.4 x 57.1 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,884.1942,,,,58.4,57.1,,,
4511,Fabric sample (no. 13309),1694,Marli Ehrman,1941,Woven cotton,"24 5/8 x 24 5/8"" (62.5 x 62.5 cm) (framed)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,885.1942,,,,62.5,62.5,,,
4512,Upholstery fabric,1694,Marli Ehrman,1941,Woven cotton,"31 1/2 x 26"" (80 x 66 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,886.1942,,,,80,66,,,
4513,Upholstery fabric sample (no.13305),1694,Marli Ehrman,c. 1940,Woven cotton,"23 x 17"" (58.4 x 43.2 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,887.1942,,,,58.4,43.2,,,
4514,Upholstery fabric sample (no. 13306),1694,Marli Ehrman,c. 1940,Woven cotton,"23 1/4 x 20"" (59 x 50.8 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,888.1942,,,,59,50.8,,,
4516,Fabric (no. 13309),1694,Marli Ehrman,c. 1940,Woven cotton,"81 x 52 1/2"" (205.7 x 133.3 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,890.1942,,,,205.7,133.3,,,
4517,Fabric (no. 13309),1694,Marli Ehrman,c. 1940,Woven cotton,"26 x 23 3/4"" (66 x 60.3 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,891.1942,,,,66,60.3,,,
4518,Fabric (no. 13308),1694,Marli Ehrman,c. 1940,Cotton,"25 x 26"" (63.5 x 66 cm)",1942-01-01,Purchase,Y,Architecture & Design,Design,892.1942,,,,63.5,66,,,
4519,Fabric (no. 13308),1694,Marli Ehrman,c. 1940,Woven cotton,"27 x 26"" (68.6 x 66 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,893.1942,,,,68.6,66,,,
4520,Fabric (no. 13308),1694,Marli Ehrman,c. 1940,Cotton,"26 x 25 1/2"" (66 x 64.8 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,894.1942,,,,66,64.8,,,
4521,Fabric (no. 13309),1694,Marli Ehrman,c. 1940,Woven cotton,"28 x 25 3/4"" (71.1 x 65.4 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,895.1942,,,,71.1,65.4,,,
4522,Fabric (no. 13305),1694,Marli Ehrman,c. 1940,Woven cotton,"49 1/2 x 29"" (125.7 x 73.7)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,896.1942,,,,125.7,73.6601,,,
4523,Fabric (no. 13305),1694,Marli Ehrman,c. 1940,Cotton,"84 x 50"" (213.4 x 127 cm)",1942-01-01,Purchase Fund,Y,Architecture & Design,Design,897.1942,,,,213.4,127,,,
4525,Rabbit Pattern Printed Fabric (no. 23583),7061,William Morris,c. 1938,Cotton,"36 x 37"" (91.5 x 94 cm)",1942-01-01,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,899.1942,,,91.5,,93.9802,,,
4526,Flower Pattern Printed Fabric (no. 23586),7061,William Morris,Unknown,Cotton,"36"" x 35 1/2"" (91.5 x 90.2 cm)",,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,900.1942,,,91.5,,90.1702,,,
4527,Tudor Rose Pattern Printed Fabric (no. 23591),7061,William Morris,Unknown,Cotton,"36"" x 35"" (91.4 x 88.9 cm)",,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,901.1942,,,91.4402,,88.9002,,,
4528,Honeysuckle Pattern (no. 23596),7061,William Morris,1876,Printed cotton,"36"" x 37"" (91.5 x 94 cm)",,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,902.1942,,,91.4402,,93.9802,,,
4529,Chrysanthemum Pattern Printed Fabric (no. 23612),7061,William Morris,1884,Cotton,"37"" x 37 3/4"" (94 x 95.9 cm)",,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,903.1942,,,93.9802,,95.8852,,,
4530,Strawberry Thief Pattern Printed Fabric (no. 23598),7061,William Morris,1883,Cotton,"36 x 36 1/2"" (91.5 x 92.7 cm)",1942-07-01,"Gift of Edgar Kaufmann, Jr.",Y,Architecture & Design,Design,904.1942,,,91.5,,92.7102,,,
4531,Sun Lamp (model HUV 1 XX),"8451, 7147, 3619","Dieter Rams, Reinhold Weiss, Dietrich Lubs",1964,Unknown,"Closed: 2 3/4 x 6 5/8 x 8 1/8"" (7 x 16.8 x 20.6 cm); open: 7 x 6 5/8 x 8 1/8"" (17.8 x 16.8 x 20.6 cm)",1965-11-09,Gift of the manufacturer,Y,Architecture & Design,Design,904.1965,,,6.985,,16.8275,20.6375,,
4532,Printed Fabric,4262,Virginia Nepodal,c. 1940,Wool,"47 x 31 1/2"" (119.4 x 80 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,905.1942,,,,119.4,80,,,
4533,Hair Dryer (model HLD 2),7147,Reinhold Weiss,1964,Plastic and metal casing,"1 7/8 x 5 1/4 x 3 3/4"" (4.8 x 13.3 x 9.5 cm)",1965-11-09,Gift of the manufacturer,Y,Architecture & Design,Design,905.1965,,,4.7625,,13.335,9.525,,
4534,Combination of Reeds,36881,Noémi Raymond,c.1940,Printed cotton,"80 x 48"" (203.2 x 121.9 cm)",,Gift of the designer,Y,Architecture & Design,Design,906.1942,,,,203.2,121.9,,,
4535,Coffee Grinder (model KMM 1),7147,Reinhold Weiss,1965,Plastic casing,"7 1/2 x 5 3/4 x 3 1/4"" (19 x 14.6 x 8.2 cm)",1965-11-09,Gift of the manufacturer,Y,Architecture & Design,Design,906.1965,,,19,,14.605,8.2,,
4537,Paper Weight,5502,Giorgio Soavi,1964,Steel,".a (sphere): 1 3/8"" (3.5 cm)
.b (cylinder): 2 3/4 x 3"" (7 x 7.6 cm)",1965-11-09,Gift of the manufacturer,Y,Architecture & Design,Design,907.1965.a-b,3.5,,,,,,,
4538,Blue Square,36881,Noémi Raymond,c. 1941,Printed cotton,"49 x 45"" (124.5 x 114.3 cm)",,Gift of the designer,Y,Architecture & Design,Design,908.1942,,,,124.5,114.3,,,
4539,Greeting Object,3860,Paul Mayen,1959,Chrome-plated metal and paper,"1/4 x 3 1/4 x 3 1/4"" (0.7 x 8.3 x 8.3 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,908.1965,,,0.635,,8.255,8.255,,
4540,"Strips, Trunks, Trees, Dots Printed Fabric",36881,Noémi Raymond,Before 1941,Cotton,"78 x 45"" (198.1 x 114.3 cm)",,Gift of the designer,Y,Architecture & Design,Design,909.1942,,,,198.1204,114.3,,,
4541,Greeting,3860,Paul Mayen,1960,Chrome-plated metal and paper,".a (metal): 3/8 x 1 1/8 x 1 1/8"" (0.9 x 2.8 x 2.8 cm)
.b (embossed paper): h. 1 1/2 x w. 6 3/8"" (h. 3.8 x w. 16.2 cm) 
.c-.f (scrolls): h. 5/8 x w. 3 1/2"" (h. 1.6 x w. 8.9 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,909.1965.a-f,,,0.9,,2.8,2.8,,
4542,"Blobs, Leaf",36881,Noémi Raymond,c. 1940,Printed cotton,"68 x 45"" (172.7 x 114.3 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,910.1942,,,,172.7,114.3,,,
4543,Greeting,3860,Paul Mayen,1961,Chrome-plated metal and paper,".a (metal): 2 x 1/2 x 1 1/8"" (5.1 x 1.3 x 2.8 cm)
.b (label): h. 3/8 x w. 3/4"" (h. 0.9 x w. 1.9 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,910.1965.a-b,,,5.08,,1.27,2.8,,
4544,"Squares, Blobs, Speckles",36881,Noémi Raymond,c. 1940,Printed cotton,"89 x 46"" (226 x 116.8 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,911.1942,,,,226,116.8,,,
4545,Greeting,3860,Paul Mayen,1962,Brass,"1 5/8 x 1/2 x 7/8"" (4.1 x 1.2 x 2.2 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,911.1965.a-b,,,4.1275,,1.2,2.2225,,
4546,Chinese Coins,36881,Noémi Raymond,c.1940,Printed cotton,"38 x 32 1/2"" (96.5 x 82.5 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,912.1942,,,,96.5,82.5,,,
4547,Greeting,3860,Paul Mayen,1963,Chrome-plated metal,"1/4 x 2 1/2"" (0.6 x 6.3cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,912.1965.a-b,6.3,,0.6,,,,,
4548,Circles,36881,Noémi Raymond,c.1939-40,Printed cotton,"43 3/4 x 76 1/2"" (111.1 x 194.3 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,913.1942,,,,194.3104,111.1252,,,
4549,Greeting,3860,Paul Mayen,1964,Chrome-plated metal and plastic film,".a (cube): 1 x 1 x 1"" (2.5 x 2.5 x 2.5 cm) 
.b (scroll): h. 3/4 x w. 6"" (h. 1.9 x w. 15.2 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,913.1965.a-b,,,2.5,,2.5,2.5,,
4550,"Combination of Strips, Reeds",36881,Noémi Raymond,c.1940,Printed cotton,"68 x 45"" (172.7 x 116.8 cm)",,Gift of the designer,Y,Architecture & Design,Design,914.1942,,,,172.7,116.8,,,
4551,Stacking Dinnerware,"6155, 7442","Massimo Vignelli, Lella Vignelli",1964,Melamine resin,"Overall (stacked): 10 3/4 x 14 3/4 x 9 7/8"" (27.3 x 37.5 x 25.1 cm)
.1: h. 4 1/2"" (11.4 cm), diam. 9 7/8"" (25.1 cm)
.2: h. 3/4"" (1.9 cm), diam. 9 7/8"" (25.1 cm)
.2-.8: h. 1"" (2.5 cm), diam. 9 7/8"" (25.1 cm)
.9-.14: h. 7/8"" (2.2 cm), diam. 7 1/2"" (19.1 cm)
.15-.18, .22-.26: h. 2 3/8"" (6 cm), diam. 5"" (12.7 cm)
.19-.20: h. 3/4"" (1.9 cm), diam. 5"" (12.7 cm)
.21: 5 x 1 1/2 x 1/2"" (12.7 x 3.8 x 1.3 cm)
.27: 1 x 5 x 9 7/8"" (2.5 x 12.7 x 25.1 cm)
.28: 1 x 9 7/8 x 9 7/8"" (2.5 x 25.1 x 25.1 cm)
.29: 1 x 14 5/8 x 9 7/8"" (2.5 x 37.1 x 25.1 cm)",1965-11-09,Gift of the designer,Y,Architecture & Design,Design,914.1965.1-29,,,27.3051,,37.4651,25.0826,,
4552,Circles,36881,Noémi Raymond,c.1941,Printed cotton,81 x 47 (205.7 x 119.4 cm),1942-01-01,Purchase Fund,Y,Architecture & Design,Design,915.1942,,,,205.7404,119.4,,,
4553,Lytegem High-Intensity Lamp,3421,Michael Lax,1965,"Plastic, zinc, and aluminum","Extended: 15 x 3 x 3 1/2"" (38.1 x 7.6 x 8.9 cm)",1965-11-09,Gift of the manufacturer,N,Architecture & Design,Design,915.1965.1,,,38.1001,,7.62,8.89,,
4554,Lytegem High-Intensity Lamps,3421,Michael Lax,1965,"Plastic, zinc, and aluminum","15 x 3 x 3 1/2"" (38.1 x 7.6 x 8.9 cm)",1965-11-09,Gift of the manufacturer,Y,Architecture & Design,Design,915.1965.1-2,,,38.1001,,7.62,8.89,,
4555,Lytegem High-Intensity Lamp,3421,Michael Lax,1965,"Plastic, zinc, and aluminum","Extended: 15 x 3 x 3 1/2"" (38.1 x 7.6 x 8.9 cm)",1965-11-09,Gift of the manufacturer,N,Architecture & Design,Design,915.1965.2,,,38.1001,,7.62,8.89,,
4556,Woven Upholstery Fabric,6003,Ulla af Ugglas,c. 1936-41,Unknown,"13 x 36 1/2"" (33 x 92.7 cm)",1942-01-01,Gift of the designer,Y,Architecture & Design,Design,916.1942,,,,92.7,33,,,
4558,Fingerbowl,9305,Seneca Glass Co.,Unknown,Glass,"2 1/4 x 4 1/8"" (5.7 x 10.5 cm)",1942-01-01,Purchase,Y,Architecture & Design,Design,919.1942,10.5,,5.7,,,,,
4559,Goblet,9305,Seneca Glass Co.,c. 1940,Glass,"6 1/2 x 3 1/4"" (16.5 x 8.2cm)",1942-01-01,Purchase,Y,Architecture & Design,Design,920.1942,8.2,,16.5,,,,,
4560,Wine Glass,9305,Seneca Glass Co.,c. 1940,Glass,"h. 4 1/2"" (11.5 cm)",1942-01-01,Purchase,N,Architecture & Design,Design,921.1942,,,11.43,,,,,
4561,Cake Cutter,6011,Unknown Designer,c. 1935,Steel and wire,"5 3/4 x 11 3/8"" (14.6 x 28.9 cm)",1942-01-01,"Gift of Bloomingdale Bros., Inc.",Y,Architecture & Design,Design,922.1942,28.8926,,14.605,,,,,
4562,Mint Julep Tumbler,2402,Lurelle Guild,c. 1934-35,Aluminum,"5 1/4 x 3"" (13.3 x 7.6 cm)",,"Gift of Bloomingdale Bros., Inc.",Y,Architecture & Design,Design,923.1942.1-2,7.6,,13.3,,,,,
4564,Pitcher,6011,Unknown Designer,Before 1942,Glazed pottery,"7 x 7 1/2"" (17.8 x 19 cm)",1942-07-01,Purchase,Y,Architecture & Design,Design,926.1942,,,17.8,,19,,,
4565,Humidor,11098,Guilford Art Company,c. 1941,Leather exterior with metal canister interior,"5 5/8 x 5 1/2"" (14.3 x 14 cm)",,Gift of Saks Fifth Avenue,Y,Architecture & Design,Design,928.1942.a-b,14,,14.3,,,,,
4566,Plates,9972,"Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT",c. 1941,"""Beetleware"" (urea-formaldehyde plastic)","Each (.1-.2): 1/2 x 6 15/16"" (1.3 x 17.6 cm)",,Purchase,Y,Architecture & Design,Design,932.1942.1-2,17.6213,,1.27,,,,,
4567,Door Handle (Automobile Type),6011,Unknown Designer,Before 1942,Chromium-plated,"4"" (10.2 cm)",1942-01-01,Transferred from Department of Architecture,Y,Architecture & Design,Design,936.1942,,,,10.2,,,,
4568,Cube in a Tube Table Base (model 131 ct),"910, 7156","Poul Cadovius, Charles J. Mauro",1967,Chrome plated tubular steel,"16 x 16 x 16"" (40.7 x 40.7 x 40.7 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1110.1969,,,40.7,,40.7,40.7,,
4569,Sitting Medium,"2094, 4487, 5830","Piero Gatti, Cesare Paolini, Franco Teodoro",1968,Leather with tiny plastic grain filling,,1969-12-01,Purchase,N,Architecture & Design,Design,1111.1969,,,,,,,,
4570,Trieste Folding Chairs,"2867, 7157","Aldo Jacober, Pierangela d'Aniello",1966,Lacquer painted wood with woven straw seat,"Each (open): 28 x 21 1/4 x 18"" (71 x 54 x 45.7 cm); (closed): 21 1/4 x 30 3/4 x 2"" (54 x 78.1 x 5.1 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1112.1969.1-2,,,71.1,,53.9751,45.7201,,
4571,Up 1 Chair,4570,Gaetano Pesce,1969,Injected polyurethane and stretch fabric,"26 3/8 x 39 3/8 x 39 3/8"" (67 x 100 x 100 cm)",1969-12-01,Gift of Atelier International,Y,Architecture & Design,Design,1113.1969,,,67,,100,100,,
4572,Up 1 Chair Collapsed Version,4570,Gaetano Pesce,1969,"Injected polyurethane, stretch fabric, and vinyl","19 1/4 x 25 1/2 x 25 1/2"" (48.9 x 64.8 x 64.8 cm)",1969-12-01,Gift of Atelier International,Y,Architecture & Design,Design,1114.1969,,,48.8951,,64.7701,64.7701,,
4573,Settee,2407,Hector Guimard,1897,Carved mahogany and tooled leather,"36 1/2 x 67 1/2 x 21"" (92.7 x 171.4 x 53.3 cm)",1964-10-06,Greta Daniel Design Fund,Y,Architecture & Design,Design,1115.1964,,,92.7102,,171.4,53.3401,,
4574,Zographos Side Chair,6578,Nicos Zographos,1966,Chrome-plated tubular steel with leather,"31 x 20 x 22"" (78.7 x 50.8 x 55.9 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1115.1969,,,78.7,,50.8,55.9,,
4576,Valentine Portable Typewriter,"5536, 7158","Ettore Sottsass, Perry King",1968,ABS plastic and other materials,"4 5/8 x 13 1/2 x 13 7/8"" (11.7 x 34.3 x 35.2 cm)",1969-12-01,Gift of Olivetti Underwood,Y,Architecture & Design,Design,1116.1969,,,11.7475,,34.2901,35.2426,,
4579,Bowl,8696,Michael Cohen,1964,Glazed ceramic,"4 1/2 x 6 1/2"" (11.4 x 16.5 cm)",1964-10-06,Greta Daniel Design Fund,Y,Architecture & Design,Design,1118.1964,16.5,,11.4,,,,,
4580,Opthalmoscope,"4753, 7161","Arthur Pulos, Pulos Design Associates, Inc.",1967,"Injection-molded plastic, berylium copper, and fiber optic bundles","5 15/16 x 15/16 x 3/4 x 5/8"" (15.1 x 2.4 x 1.9 x 1.6 cm)",1969-12-01,"Gift of Pulos Design Associates, Inc.",Y,Architecture & Design,Design,1118.1969,1.6,,15.1,,2.4,1.9,,
4581,Vase,8696,Michael Cohen,1964,Glazed ceramic,"6 x 7 1/2"" (15.2 x 19.1 cm)",1964-10-06,Greta Daniel Design Fund,Y,Architecture & Design,Design,1119.1964,19.1,,15.2,,,,,
4583,Vase,8696,Michael Cohen,1964,Glazed ceramic,"6 1/4 x 8 1/4"" (15.9 x 21 cm)",1964-10-06,Greta Daniel Design Fund,Y,Architecture & Design,Design,1120.1964,21,,15.9,,,,,
4584,Ski Goggles,5493,Richard Smith,1966,"Plastic, foam, and elastic","3 x 7 x 4"" (7.6 x 17.8 x 10.2 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1120.1969,,,7.6,,17.8,10.2,,
4585,Disposable Penlight,"7162, 11111","Richard Lowrie, Concept Inc., St. Petersburg, FL",1965,Plastic and metal parts,"Each: 1/2 x 4 3/8"" (1.3 x 11.1 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.1-3,11.1125,,,1.27,,,,
4586,Disposable Cautery Unit (model 236),5610,David Staub,Unknown,PVC and high resistance wire,"h. 7 13/16"" (19.8 cm), diam. 5/8"" (1.6 cm)",1969-12-01,Gift of the manufacturer,N,Architecture & Design,Design,1121.1969.10,1.5875,,19.8438,,,,,
4587,Flexible Surgical Light (model 023),5610,David Staub,1969,"Extruded PVC, plated brass, and vinyl","11 3/8 x 5/8"" (28.9 x 1.6 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.11,1.5875,,28.8926,,,,,
4588,Disposable Cautery Unit (model 237),5610,David Staub,Unknown,Extruded PVC and brass,"h. 11 3/8"" (28.9 cm), diam. 5/8"" (1.6 cm)",1969-12-01,Gift of the manufacturer,N,Architecture & Design,Design,1121.1969.12,1.5875,,28.8926,,,,,
4589,Medical Diagnostic Light (model 007),5610,David Staub,1968,PVC and machined aluminum,"Each: 4 13/16 x 1/2"" (12.2 x 1.3 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.4-5,1.27,,,12.2238,,,,
4590,Hospital Diagnostic Light,5610,David Staub,1967,Extruded PVC,"5 1/8 x 5/8"" (13 x 1.6 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.6,1.5875,,,13.0175,,,,
4591,Nerve Locator/Stimulator (model 073),"5610, 7163","David Staub, Richard N. Naylor",1969,"Extruded PVC, celcon, and stainless steel","7 1/2 x 5/8"" (19.1 x 1.6 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.7,1.5875,,19.05,,,,,
4592,Split Beam Disposable Pocket Light (model 022),11111,"Concept Inc., St. Petersburg, FL",1968,Extruded unplasticated polyvinyl chloride and acrylic,"6 x 5/8"" (15.3 x 1.6 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.8,1.5875,,15.3,,,,,
4593,Disposable Cautery Unit (model 134),"7163, 5610","Richard N. Naylor, David Staub",1968,"PVC, brass pins, and high resistance wire","Each: 6 3/8 x 5/8"" (16.2 x 1.6 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1121.1969.9,1.5875,,16.1925,,,,,
4594,Cordless Nail Drill (model 087),5610,David Staub,1967,Extruded unplasticized PVC and aluminum,"5 x 1 1/16"" (12.7 x 2.7cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1122.1969,2.7,,,12.7,,,,
4595,Corneal Rust Ring Remover (model 082),5610,David Staub,1968,Extruded unplasticized PVC and aluminum,"5 3/8 x 13/16"" (13.7 x 2.1cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1123.1969,2.1,,,13.7,,,,
4596,Dax Frame,"1762, 8700","Bud Esry, Saul Nesbitt",1969,Injection-molded polystyrene and laminated box board,"7 x 5 x 1 5/16"" (17.8 x 12.7 x 3.4 cm)",1969-12-01,Gift of the manufacturer,Y,Architecture & Design,Design,1124.1969,,,17.8,,12.7,3.4,,
4597,Chronotime Clock,3743,Pio Manzù,1968,ABS polymer casing and metal parts,"Each: 2 5/8 x 2 3/4"" (6.7 x 7 cm)",1969-12-01,Purchase and gift of Mrs. Manzu,Y,Architecture & Design,Design,1125.1969.1-2,6.985,,6.6675,,,,,
4598,Ashtray,4231,Carlo Nason,1958,Glass,"2 x 4"" (5.1 x 10.1 cm)",1969-12-01,"Gift of Bonniers, Inc.",Y,Architecture & Design,Design,1126.1969,10.1,,5.08,,,,,
4599,Table Lighter,8451,Dieter Rams,1968,"Plastic, chrome, and painted metal","3 3/8 x 2 1/8"" (8.6 x 5.4 cm)",1969-12-01,Gift of Bonniers,Y,Architecture & Design,Design,1132.1969.1-3,5.3975,,8.5725,,,,,
